tau_frac,psi_frac,dW_total,dW_total_pct,dW_r3_pct
0.0,0.0,0.0,0.0,0.0
0.0,0.1,-0.0003125049305054972,-0.005933644602708492,0.017618851834123872
0.0,0.2,-0.0006798922644826177,-0.012909361330859301,0.02067627583159305
0.0,0.3,-0.0011130950313775756,-0.02113473958491355,0.01642971103752103
0.0,0.4,-0.0015739968839056928,-0.029886050436899292,0.021790143894626975
0.0,0.5,-0.0016678916638523944,-0.03166886472194766,0.035919770609893716
0.1,0.0,-0.0006504616393785412,-0.01235055136417921,-0.009310459109231228
0.1,0.1,-0.0009544015698841335,-0.018121569201481388,0.006189107453945466
0.1,0.2,-0.001310897653861609,-0.024890489810695426,0.006252172929361178
0.1,0.3,-0.001744100420756567,-0.03311586806474968,0.002005608135264055
0.1,0.4,-0.0022138209986310997,-0.04203462325743713,0.006824478884559308
0.1,0.5,-0.0023683315725282483,-0.044968371635048986,0.017719585847167124
0.2,0.0,-0.0012573713336694325,-0.0238741661309461,-0.013604269448659443
0.2,0.1,-0.0015613112641750249,-0.029645183968248275,0.0018952971144795903
0.2,0.2,-0.0019051548481527902,-0.03617386696517053,0.0036336448286926554
0.2,0.3,-0.002338357615047748,-0.04439924521922478,-0.0006129199653542522
0.2,0.4,-0.002838917359588855,-0.053903554868756004,0.0022582392652969697
0.2,0.5,-0.0029845716834859815,-0.05666914641144091,0.00997326402664138
0.3,0.0,-0.0018438628823451708,-0.03501009415200087,-0.030105489498716283
0.3,0.1,-0.002087769887680224,-0.0396412450379344,-0.012506844153674878
0.3,0.2,-0.0024161388883250368,-0.04587610650146769,-0.010545356333255686
0.3,0.3,-0.0028493416552199946,-0.054101484755521935,-0.0147919211273277
0.3,0.4,-0.0033499013997602134,-0.06360579440503629,-0.011920761896651371
0.3,0.5,-0.0034731749297076675,-0.06594643368533933,-0.003510174161169086
0.4,0.0,-0.002621278441145236,-0.0497711656879729,-0.04284997888431111
0.4,0.1,-0.0028943792049851425,-0.05495662906844817,-0.023930385993973916
0.4,0.2,-0.003175505712573745,-0.06029448016005537,-0.020533516355775463
0.4,0.3,-0.003608708479468703,-0.06851985841410962,-0.02478008114979726
0.4,0.4,-0.004109268224008922,-0.07802416806362397,-0.02190892191914604
0.4,0.5,-0.004284247547906794,-0.08134656403079393,-0.015451371789493271
0.5,0.0,-0.003205080414847572,-0.060856025772279616,-0.04690302925782995
0.5,0.1,-0.003485476595353809,-0.06618000987835324,-0.02842926899622895
0.5,0.2,-0.0038038749638227287,-0.07222555532789475,-0.02620393545401329
0.5,0.3,-0.004237077730716798,-0.08045093358193213,-0.030450500248035087
0.5,0.4,-0.004737637475257905,-0.08995524323146335,-0.027579341017383865
0.5,0.5,-0.00487948173511743,-0.09264849170462895,-0.018035370083281405
